EmployeeID,Age,Gender,Education,Department,JobRole,JobLevel,MonthlyIncome,SalarySlab,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,NumCompaniesWorked,SickLeaveDays,AbsentDays,MaritalStatus,Attrition,JoiningDate
EMP10011,38,Female,PhD,Sales,Sales Executive,2,25000,Very High,10,0,0,0,No,Travel_Rarely,5,High,High,Low,Very High,3,11,0,6,3,1,17,Married,No,2022-01-24
EMP10012,57,Male,Master's,Marketing,Marketing Executive,2,25000,Very High,31,3,3,3,No,Travel_Frequently,13,Low,Low,Medium,High,3,13,3,3,4,7,1,Married,No,2010-11-06
EMP10013,22,Male,Bachelor's,It,IT Support,5,9624,High,1,1,1,1,No,Travel_Rarely,7,Low,Low,Very High,Medium,3,16,2,4,0,11,17,Married,No,2020-12-09
EMP10014,24,Female,High School,Sales,Sales Representative,1,21709,Very High,3,1,1,1,No,Travel_Rarely,17,High,Low,Very High,Medium,4,22,1,3,4,4,7,Married,No,2018-09-12
EMP10015,32,Female,High School,Sales,Sales Executive,1,25000,Very High,4,1,1,1,No,Travel_Rarely,8,High,High,High,High,4,23,0,0,0,6,1,Married,No,2018-05-29
EMP10016,50,Female,Bachelor's,Sales,Manager,1,23281,Very High,29,1,1,1,No,Travel_Frequently,5,High,Low,High,High,3,18,2,0,4,3,15,Married,No,2013-12-18
EMP10017,35,Female,High School,Research & Development,Research Director,1,20933,Very High,7,5,5,2,No,Travel_Rarely,23,Low,High,High,Very High,4,15,0,6,4,8,4,Married,No,2021-11-26
EMP10018,51,Male,Bachelor's,Research & Development,Research Director,2,12275,High,22,6,6,0,No,Travel_Rarely,7,Medium,High,Medium,Very High,3,16,2,4,2,1,9,Married,No,2025-04-24
EMP10019,41,Female,Bachelor's,Research & Development,Laboratory Technician,1,24459,Very High,20,5,1,4,No,Travel_Rarely,8,Medium,Low,Medium,High,3,17,0,5,3,11,8,Single,No,2023-06-14
EMP10020,48,Male,Master's,Sales,Sales Executive,1,15669,Very High,21,10,7,2,No,Non-Travel,7,Medium,High,High,Low,4,21,2,2,1,9,1,Married,No,2021-10-23
EMP10021,41,Male,Bachelor's,Human Resources,HR Specialist,1,8222,High,16,3,0,3,No,Travel_Rarely,22,Very High,Very High,Low,Low,3,21,3,4,1,8,15,Married,No,2024-09-21
EMP10022,22,Female,Master's,Sales,Sales Executive,2,25000,Very High,0,0,0,0,Yes,Travel_Frequently,12,High,Very High,Very High,Very High,3,25,2,3,0,3,15,Single,No,2017-06-11
EMP10023,29,Female,Bachelor's,Sales,Manager,3,25000,Very High,0,0,0,0,No,Travel_Rarely,6,Low,High,High,High,3,17,0,2,0,5,16,Single,No,2010-03-17
EMP10024,40,Male,Bachelor's,Research & Development,Research Director,3,22545,Very High,21,5,1,5,No,Travel_Rarely,21,Very High,High,High,High,3,22,1,6,2,4,1,Single,No,2020-07-25
EMP10025,35,Female,PhD,Research & Development,Research Director,1,24418,Very High,7,5,2,5,No,Travel_Frequently,21,Medium,Medium,High,High,3,18,2,3,0,2,4,Single,No,2020-02-22
EMP10026,31,Female,High School,It,Software Engineer,2,25000,Very High,13,4,3,1,Yes,Non-Travel,4,High,High,Medium,High,3,21,0,3,1,6,7,Single,No,2010-12-23
EMP10027,21,Male,PhD,Sales,Manager,1,24366,Very High,0,0,0,0,No,Travel_Rarely,23,Low,High,High,High,4,23,1,3,3,3,1,Married,No,2025-08-06
EMP10028,60,Female,Bachelor's,Research & Development,Research Scientist,1,25000,Very High,33,5,1,5,Yes,Travel_Rarely,29,High,High,High,Medium,3,24,3,1,2,0,11,Single,No,2015-06-17
EMP10029,43,Male,Bachelor's,Human Resources,HR Specialist,3,19267,Very High,21,11,2,5,No,Non-Travel,28,Medium,High,Low,High,3,23,3,2,0,7,12,Single,No,2018-03-23
EMP10030,54,Male,Bachelor's,Sales,Manager,2,25000,Very High,33,4,1,1,No,Travel_Rarely,27,Medium,Very High,High,Low,4,19,1,1,2,2,15,Single,No,2016-06-23
EMP10031,49,Female,High School,Human Resources,HR Specialist,1,25000,Very High,28,8,0,4,No,Travel_Rarely,30,Low,High,Medium,High,3,25,0,1,2,5,4,Single,No,2013-01-26
EMP10032,49,Male,Bachelor's,Sales,Sales Representative,2,24036,Very High,22,1,0,1,No,Travel_Rarely,3,Low,High,High,Medium,3,11,0,3,2,11,11,Married,No,2017-10-02
EMP10033,54,Female,Master's,Sales,Sales Executive,1,12438,High,34,6,5,0,No,Travel_Frequently,5,Low,Medium,Low,High,3,22,2,0,0,1,14,Single,No,2010-04-15
EMP10034,38,Female,Bachelor's,Marketing,Marketing Specialist,2,25000,Very High,9,9,7,2,Yes,Travel_Frequently,19,Medium,Medium,High,Very High,3,24,3,5,4,8,1,Married,No,2014-11-02
EMP10035,27,Male,Bachelor's,Marketing,Marketing Executive,2,15148,Very High,5,2,0,2,No,Non-Travel,8,Low,Medium,Medium,High,3,24,3,4,0,3,11,Single,No,2018-04-27
EMP10036,45,Female,Bachelor's,It,Software Engineer,1,16527,Very High,19,8,1,2,No,Travel_Rarely,5,High,High,High,Medium,3,16,3,0,0,6,9,Married,No,2017-07-24
EMP10037,59,Female,Bachelor's,Research & Development,Laboratory Technician,4,15261,Very High,37,6,3,5,No,Travel_Rarely,27,Low,Low,High,Medium,3,11,3,3,0,8,7,Married,No,2023-09-13
EMP10038,26,Male,Master's,Sales,Sales Executive,2,13632,High,0,0,0,0,No,Travel_Rarely,13,High,High,High,Medium,3,16,0,4,0,10,20,Married,No,2018-04-30
EMP10039,49,Male,Master's,Finance,Financial Analyst,3,25000,Very High,17,4,1,4,No,Travel_Rarely,10,Low,Very High,High,Very High,3,20,3,5,0,2,10,Single,No,2022-11-13
EMP10040,26,Male,Bachelor's,Research & Development,Research Scientist,3,25000,Very High,8,2,1,1,No,Travel_Rarely,6,Very High,Very High,Medium,High,3,18,1,4,2,2,11,Single,No,2021-03-12
EMP10041,22,Male,Bachelor's,Sales,Sales Representative,2,25000,Very High,0,0,0,0,No,Travel_Rarely,1,Very High,Very High,Very High,High,3,13,0,5,2,2,16,Divorced,Yes,2014-03-27
EMP10042,20,Female,Bachelor's,Research & Development,Manager,2,12704,High,0,0,0,0,No,Travel_Rarely,30,Medium,Medium,Low,Medium,3,21,1,3,0,4,6,Married,No,2014-01-26
EMP10043,55,Male,PhD,Sales,Sales Executive,1,22744,Very High,27,1,0,1,No,Travel_Rarely,11,High,Medium,High,High,3,14,1,1,3,9,14,Single,Yes,2022-10-03
EMP10044,44,Female,Bachelor's,Marketing,Manager,2,21729,High,22,1,1,1,Yes,Travel_Rarely,20,Low,Medium,Medium,Medium,3,14,0,4,3,5,18,Single,Yes,2011-06-01
EMP10045,56,Male,Master's,Sales,Sales Representative,2,16106,Very High,27,5,2,1,No,Travel_Frequently,9,Very High,Medium,High,Medium,3,21,1,5,4,2,1,Single,Yes,2022-01-17
EMP10046,20,Male,Bachelor's,Finance,Finance Manager,1,14572,High,0,0,0,0,No,Travel_Rarely,16,High,High,High,Medium,3,11,1,4,3,9,5,Single,No,2018-04-17
EMP10047,34,Male,PhD,Research & Development,Research Scientist,2,25000,Very High,6,0,0,0,Yes,Travel_Rarely,15,Low,Low,Very High,Medium,3,22,2,4,1,8,1,Married,No,2023-05-27
EMP10048,56,Female,Bachelor's,Research & Development,Laboratory Technician,3,18429,Very High,31,4,2,2,Yes,Travel_Rarely,5,Medium,Medium,Medium,Medium,3,12,3,4,1,0,13,Married,No,2022-04-14
EMP10049,32,Male,Bachelor's,Research & Development,Research Director,4,25000,Very High,11,2,2,2,Yes,Travel_Frequently,15,Low,Medium,Medium,High,3,22,1,2,3,6,7,Divorced,Yes,2017-12-24
EMP10050,59,Male,Master's,Sales,Sales Representative,2,25000,Very High,34,1,1,1,No,Travel_Rarely,1,Medium,High,High,Medium,3,19,2,1,0,10,15,Single,No,2010-10-23
EMP10051,27,Female,PhD,Marketing,Marketing Specialist,2,25000,Very High,0,0,0,0,No,Travel_Rarely,15,High,High,Very High,Low,3,10,2,2,3,8,18,Married,No,2015-06-12
EMP10052,24,Female,PhD,It,IT Support,3,11319,High,5,5,2,3,No,Travel_Rarely,4,Medium,Very High,Medium,Medium,4,12,3,2,1,4,17,Single,No,2019-07-02
EMP10053,28,Male,Master's,Marketing,Marketing Executive,1,25000,Very High,0,0,0,0,Yes,Travel_Rarely,28,Medium,Very High,Very High,High,4,14,2,5,3,2,12,Married,Yes,2022-07-14
EMP10054,20,Female,Master's,It,Data Analyst,1,25000,Very High,0,0,0,0,No,Travel_Frequently,16,Low,Medium,High,Low,3,18,2,3,2,9,5,Married,No,2023-07-17
EMP10055,55,Female,Bachelor's,Human Resources,Manager,1,14214,High,30,1,0,1,No,Travel_Rarely,22,Medium,Very High,High,High,3,10,1,1,4,3,3,Married,No,2020-08-24
EMP10056,54,Female,Master's,Marketing,Manager,4,25000,Very High,26,2,2,2,Yes,Travel_Rarely,7,Low,High,High,Low,3,25,3,0,2,7,20,Married,Yes,2010-05-25
EMP10057,21,Male,Master's,Sales,Sales Representative,1,25000,Very High,2,1,1,1,No,Travel_Rarely,23,High,High,High,High,3,25,3,6,2,11,9,Single,No,2020-05-25
EMP10058,59,Male,Bachelor's,Sales,Manager,1,19883,Very High,40,7,3,1,No,Travel_Rarely,8,Low,Very High,Very High,Very High,3,15,1,1,4,2,14,Divorced,No,2018-04-21
EMP10059,42,Male,Master's,Sales,Sales Executive,2,15203,Very High,19,15,5,2,No,Travel_Rarely,21,High,Low,Medium,Very High,4,21,0,0,0,4,11,Married,No,2016-03-05
EMP10060,28,Female,Bachelor's,Research & Development,Laboratory Technician,3,15937,Very High,10,6,6,1,No,Travel_Rarely,22,Medium,Very High,Medium,High,4,11,2,5,4,11,19,Single,No,2011-03-22
EMP10061,53,Male,Bachelor's,Research & Development,Research Scientist,4,25000,Very High,25,11,4,1,Yes,Travel_Rarely,27,Medium,High,Very High,High,3,21,1,5,0,2,11,Married,No,2022-05-07
EMP10062,33,Female,Master's,Sales,Sales Representative,2,22033,Very High,12,5,4,5,No,Travel_Frequently,27,High,Medium,Medium,High,3,15,2,4,1,11,6,Divorced,Yes,2017-11-10
EMP10063,23,Male,Bachelor's,It,Software Engineer,4,25000,Very High,0,2,0,0,Yes,Travel_Frequently,2,Medium,Medium,Medium,Very High,3,19,3,5,3,5,5,Married,No,2011-06-29
EMP10064,49,Male,Bachelor's,Research & Development,Laboratory Technician,1,15430,Very High,22,3,3,3,Yes,Travel_Rarely,30,Medium,High,Medium,High,3,15,3,0,1,11,4,Married,No,2020-03-05
EMP10065,50,Male,Bachelor's,Sales,Sales Executive,1,15507,Very High,25,0,0,0,No,Travel_Rarely,12,Unknown,High,High,High,3,10,2,6,1,0,18,Married,No,2024-02-18
EMP10066,57,Male,Bachelor's,Sales,Research Director,4,25000,Very High,33,0,0,0,No,Travel_Rarely,26,Medium,High,Medium,High,3,14,3,0,1,6,13,Single,No,2013-02-28
EMP10067,30,Female,Bachelor's,Sales,Unknown,2,12000,High,3,3,1,3,Yes,Travel_Rarely,28,Medium,Medium,Medium,Medium,3,19,3,5,3,10,0,Single,No,2023-02-20
EMP10068,54,Female,Master's,It,Manager,1,18273,Very High,32,3,2,3,Yes,Travel_Rarely,2,High,Medium,High,High,3,11,0,6,0,5,10,Divorced,No,2020-12-19
EMP10069,27,Female,Master's,Sales,Sales Representative,2,22366,Very High,3,3,3,1,No,Non-Travel,14,High,High,Medium,High,3,10,3,6,4,11,3,Married,No,2020-07-19
EMP10070,22,Female,Master's,Marketing,Marketing Executive,3,23159,Very High,0,0,0,0,No,Travel_Rarely,19,Low,Medium,High,High,3,20,3,0,0,5,20,Single,No,2023-04-14
EMP10071,33,Male,Bachelor's,It,Software Engineer,3,20321,Very High,8,2,0,2,No,Non-Travel,20,Medium,Medium,Low,High,3,18,2,4,0,2,13,Married,No,2017-06-10
EMP10072,32,Female,Master's,Sales,Sales Executive,3,25000,Very High,8,3,1,3,No,Travel_Rarely,6,Low,Medium,Very High,High,3,15,1,4,2,0,20,Single,No,2017-11-05
EMP10073,51,Male,Master's,Sales,Sales Representative,2,25000,Very High,21,3,3,3,Yes,Travel_Rarely,22,Medium,Low,High,Very High,3,10,3,2,3,10,17,Single,No,2024-03-16
EMP10074,53,Female,High School,It,Software Engineer,3,25000,Very High,31,2,2,0,No,Travel_Rarely,19,High,Medium,High,Very High,4,25,3,0,0,0,5,Married,No,2022-01-07
EMP10075,38,Female,Master's,Finance,Accountant,2,14135,High,11,9,7,7,Yes,Travel_Rarely,17,Very High,Medium,High,Very High,3,19,1,1,0,6,4,Single,No,2014-01-06
EMP10076,57,Female,PhD,Finance,Financial Analyst,2,19383,Very High,23,3,1,3,No,Travel_Rarely,3,Very High,Very High,Low,High,3,18,1,3,1,3,16,Single,No,2010-04-05
EMP10077,35,Female,High School,It,Manager,3,25000,Very High,9,5,1,3,Yes,Travel_Frequently,20,Low,High,High,High,3,21,1,2,2,5,6,Divorced,No,2023-04-18
EMP10078,21,Female,Master's,Sales,Sales Executive,2,25000,Very High,0,0,0,0,No,Travel_Frequently,25,Medium,High,Very High,High,3,18,2,0,4,3,10,Single,Yes,2010-09-15
EMP10079,59,Female,Master's,Research & Development,Research Scientist,1,11875,High,33,10,1,5,No,Travel_Rarely,10,High,Medium,High,Medium,3,22,3,2,2,7,13,Married,No,2016-03-05
EMP10080,36,Male,High School,Sales,Manager,2,25000,Very High,8,8,3,2,No,Travel_Rarely,24,Low,High,Medium,Medium,3,16,3,5,1,11,1,Married,No,2022-04-17
EMP10081,53,Male,Master's,It,Software Engineer,2,21729,High,27,2,1,2,Yes,Non-Travel,13,High,High,High,Medium,4,18,1,5,1,8,16,Married,No,2023-03-23
EMP10082,35,Female,Bachelor's,Human Resources,HR Executive,1,22497,Very High,8,0,0,0,No,Travel_Frequently,20,High,Medium,High,Very High,3,10,0,5,1,1,1,Married,No,2012-09-06
EMP10083,57,Female,Bachelor's,Research & Development,Manager,1,25000,Very High,27,2,2,0,No,Travel_Rarely,23,Very High,Low,High,High,3,24,2,0,3,0,14,Single,No,2022-07-22
EMP10084,21,Male,Master's,Sales,Sales Representative,1,14378,High,0,0,0,0,No,Travel_Rarely,29,Low,High,Very High,Very High,3,22,1,0,1,0,6,Married,No,2011-04-01
EMP10085,21,Male,High School,Research & Development,Laboratory Technician,1,15132,Very High,0,0,0,0,No,Travel_Rarely,29,Medium,Low,High,Medium,3,12,1,2,0,11,2,Married,No,2015-07-11
EMP10086,45,Male,Master's,Research & Development,Manager,3,25000,Very High,25,5,2,5,No,Travel_Rarely,25,High,Low,Medium,Medium,4,17,3,0,3,11,5,Married,No,2010-06-22
EMP10087,32,Female,High School,Finance,Financial Analyst,1,11001,High,3,0,0,0,No,Travel_Rarely,18,High,Medium,Low,Medium,3,12,0,6,1,6,20,Married,No,2025-05-26
EMP10088,50,Male,Bachelor's,Human Resources,HR Specialist,1,16569,Very High,27,2,1,1,No,Travel_Rarely,19,Very High,High,High,Medium,3,17,2,0,3,1,8,Married,No,2025-09-10
EMP10089,53,Female,Bachelor's,It,Software Engineer,2,25000,Very High,31,1,1,1,No,Travel_Rarely,17,Low,High,High,Very High,3,12,0,3,0,2,9,Single,No,2011-08-06
EMP10090,58,Male,Bachelor's,Research & Development,Manager,3,16557,Very High,34,5,3,0,Yes,Travel_Rarely,8,High,Very High,Medium,High,3,13,0,1,1,11,20,Married,No,2017-07-08
EMP10091,22,Male,Bachelor's,Sales,Sales Executive,1,19807,Very High,0,0,0,0,Yes,Travel_Rarely,18,High,Medium,Low,High,3,22,3,4,1,3,20,Married,No,2013-09-19
EMP10092,27,Female,Master's,Finance,Accountant,1,25000,Very High,9,9,2,1,No,Non-Travel,7,Low,Very High,Very High,High,3,21,1,3,0,8,7,Married,No,2023-05-29
EMP10093,42,Male,PhD,It,Software Engineer,4,25000,Very High,11,11,3,3,No,Non-Travel,23,High,High,Medium,Very High,3,21,1,4,1,9,6,Single,No,2023-07-30
EMP10094,33,Male,Master's,Research & Development,Laboratory Technician,2,24836,Very High,8,1,1,1,No,Travel_Rarely,11,High,Medium,High,Medium,3,23,0,4,0,1,0,Single,No,2024-09-13
EMP10095,46,Male,Bachelor's,It,IT Support,4,18909,Very High,24,2,1,2,No,Travel_Rarely,3,Medium,Very High,Low,Very High,3,13,2,1,1,9,9,Married,No,2025-09-07
EMP10096,48,Male,Master's,Research & Development,Laboratory Technician,1,25000,Very High,17,1,1,1,No,Travel_Rarely,2,Medium,High,Medium,High,3,14,2,6,1,1,17,Single,No,2023-03-19
EMP10097,58,Female,Master's,Research & Development,Laboratory Technician,1,20834,Very High,38,2,1,0,No,Travel_Rarely,19,High,Low,High,Very High,4,19,3,3,2,0,15,Married,No,2022-04-05
EMP10098,58,Male,Bachelor's,Research & Development,Manager,1,25000,Very High,33,12,2,1,No,Travel_Rarely,28,Medium,Low,Very High,High,3,19,2,0,3,7,3,Single,No,2018-03-14
EMP10099,20,Female,Bachelor's,Sales,Sales Executive,1,17613,Very High,0,0,0,0,No,Travel_Rarely,24,Very High,Medium,Very High,Medium,3,20,3,1,4,7,8,Married,No,2023-11-20
EMP10100,36,Male,High School,Sales,Manager,4,20289,Very High,5,5,0,3,No,Travel_Rarely,28,Medium,High,Medium,High,3,13,0,0,2,4,17,Single,No,2021-03-31
EMP10101,60,Female,Bachelor's,Sales,Manager,5,14108,High,28,3,3,2,No,Travel_Rarely,25,Medium,Very High,High,Low,3,16,2,0,2,2,10,Married,No,2011-03-25
EMP10102,49,Female,PhD,Human Resources,HR Executive,4,21682,Very High,21,0,0,0,No,Travel_Rarely,11,Very High,Medium,High,Very High,3,20,1,5,3,0,11,Single,No,2010-07-07
EMP10103,32,Female,Bachelor's,Research & Development,Laboratory Technician,3,15291,Very High,9,0,0,0,No,Travel_Frequently,8,Very High,High,Medium,High,4,13,0,0,2,1,7,Single,No,2021-02-27
EMP10104,40,Female,Master's,Research & Development,Research Director,3,13342,High,18,4,4,2,No,Travel_Rarely,11,Unknown,Medium,Medium,Medium,3,20,3,0,0,8,0,Single,No,2019-03-02
EMP10105,38,Male,Bachelor's,Marketing,Manager,2,24745,Very High,9,6,6,1,No,Travel_Rarely,2,High,High,Very High,Medium,4,10,0,3,2,7,7,Married,No,2025-05-26
EMP10106,38,Male,Bachelor's,Sales,Sales Executive,3,24239,Very High,13,1,1,1,No,Travel_Rarely,12,Low,Very High,High,Very High,3,14,0,4,4,9,4,Single,No,2021-11-16
EMP10107,44,Female,Bachelor's,Research & Development,Laboratory Technician,1,25000,Very High,15,6,0,1,Yes,Travel_Rarely,29,Low,High,High,Very High,3,21,3,4,0,10,0,Single,No,2022-06-20
EMP10108,41,Male,PhD,It,Manager,2,18142,Very High,10,8,4,0,Yes,Travel_Rarely,9,Medium,High,High,High,3,17,2,3,3,3,2,Married,No,2019-06-09
EMP10109,50,Male,Bachelor's,Sales,Manager,2,25000,Very High,28,3,1,0,No,Travel_Frequently,6,Medium,High,High,High,3,15,2,4,3,2,12,Single,No,2019-10-15
EMP10110,36,Male,Master's,Sales,Sales Executive,3,25000,Very High,11,7,7,1,No,Travel_Rarely,12,High,Low,High,Very High,3,13,1,5,3,4,15,Married,No,2017-09-22
EMP10111,42,Male,Bachelor's,Sales,Manager,2,25000,Very High,16,3,1,1,Yes,Travel_Frequently,18,High,Very High,Medium,Medium,3,13,2,1,0,7,11,Divorced,No,2025-04-15
EMP10112,51,Male,Master's,Sales,Manager,3,15191,Very High,26,6,1,2,No,Travel_Rarely,25,Very High,High,Medium,Low,4,22,3,0,3,9,6,Married,No,2012-12-28
EMP10113,29,Male,Master's,Marketing,Marketing Specialist,2,23558,Very High,0,0,0,0,No,Travel_Rarely,5,High,High,Medium,High,3,10,3,0,3,5,7,Divorced,No,2022-12-18
EMP10114,29,Male,Master's,It,Manager,3,25000,Very High,3,3,0,3,Yes,Travel_Rarely,22,Medium,High,Very High,Very High,3,25,3,6,4,9,10,Married,No,2018-10-02
EMP10115,55,Female,High School,Human Resources,HR Specialist,5,22098,Very High,27,2,1,0,No,Travel_Rarely,17,High,High,Low,High,4,19,2,5,1,10,12,Married,No,2013-01-30
EMP10116,27,Male,Bachelor's,It,Data Analyst,1,8613,High,0,0,0,0,No,Travel_Rarely,16,Very High,High,High,Medium,3,22,3,0,1,3,10,Single,No,2020-05-25
EMP10117,39,Female,Bachelor's,It,Manager,4,23676,Very High,15,1,1,1,Yes,Non-Travel,12,High,High,Very High,High,4,10,2,2,1,7,3,Single,No,2025-01-19
EMP10118,51,Male,PhD,Sales,Sales Representative,2,25000,Very High,24,1,1,1,No,Travel_Rarely,29,High,Low,Medium,High,3,12,3,1,3,3,5,Married,No,2018-10-27
EMP10119,33,Female,Bachelor's,It,Manager,2,18732,Very High,4,4,3,1,No,Travel_Rarely,30,Very High,Medium,Medium,High,3,13,3,2,0,4,18,Married,No,2022-08-12
EMP10120,47,Male,High School,Research & Development,Research Director,3,15873,Very High,23,12,6,3,No,Travel_Frequently,2,Low,Very High,Very High,Very High,3,24,2,3,3,1,20,Divorced,Yes,2019-07-10
EMP10121,43,Male,Bachelor's,It,Data Analyst,2,25000,Very High,15,3,0,1,No,Travel_Rarely,16,High,Medium,High,High,3,13,1,2,1,9,7,Married,No,2018-05-26
EMP10122,34,Male,Bachelor's,It,Data Analyst,2,25000,Very High,1,1,1,1,Yes,Travel_Rarely,1,Very High,High,High,Low,3,11,1,4,4,3,5,Married,No,2013-11-20
EMP10123,41,Male,Master's,Research & Development,Research Scientist,2,25000,Very High,14,2,2,1,No,Travel_Rarely,20,Very High,Medium,High,High,3,20,1,4,3,9,16,Single,No,2023-02-20
EMP10124,49,Female,PhD,Sales,Sales Representative,1,12506,High,25,3,3,1,No,Travel_Rarely,2,Medium,Medium,Medium,Medium,3,18,2,1,3,9,17,Single,No,2022-12-06
EMP10125,23,Female,Bachelor's,Sales,Sales Representative,2,25000,Very High,0,0,0,0,Yes,Travel_Rarely,13,High,High,High,Very High,3,25,3,2,3,2,2,Married,Yes,2020-02-24
EMP10126,32,Male,Master's,Research & Development,Research Director,1,25000,Very High,3,1,0,1,No,Travel_Rarely,16,High,High,High,High,3,17,2,2,0,11,11,Married,No,2021-11-14
EMP10127,42,Male,Master's,It,IT Support,4,20662,Very High,24,7,0,2,Yes,Travel_Rarely,1,Medium,Medium,Low,High,3,12,0,0,4,11,14,Divorced,No,2022-06-08
EMP10128,27,Male,Bachelor's,It,Data Analyst,1,25000,Very High,4,0,0,0,No,Travel_Rarely,19,High,Very High,Low,Very High,3,20,0,1,4,7,6,Married,No,2015-10-08
EMP10129,37,Male,Master's,Sales,Sales Representative,2,25000,Very High,14,4,1,2,Yes,Travel_Rarely,4,Medium,High,Medium,High,4,11,2,0,4,7,12,Divorced,No,2020-11-22
EMP10130,31,Male,Master's,Research & Development,Manager,4,25000,Very High,0,0,0,0,No,Travel_Rarely,20,Medium,Medium,Medium,High,3,10,0,1,4,6,9,Married,No,2014-07-08
EMP10131,50,Female,Bachelor's,Research & Development,Laboratory Technician,4,13169,High,27,2,2,2,No,Travel_Rarely,3,Medium,High,Very High,Very High,3,19,1,6,1,5,18,Married,No,2017-03-26
EMP10132,33,Male,Master's,Sales,Manager,3,25000,Very High,5,5,1,3,No,Non-Travel,2,High,Very High,High,Low,3,18,1,1,3,8,8,Married,No,2017-08-05
EMP10133,53,Female,Bachelor's,Sales,Sales Representative,2,21395,Very High,37,6,5,3,No,Travel_Rarely,12,Medium,Low,Medium,Low,3,14,1,2,4,3,11,Married,No,2020-07-07
EMP10134,37,Female,Bachelor's,Research & Development,Manager,1,22761,Very High,14,5,5,0,No,Travel_Frequently,24,Medium,High,High,High,3,17,0,5,2,3,10,Married,No,2010-11-20
EMP10135,53,Female,Master's,Marketing,Manager,2,22764,Very High,20,3,1,1,No,Travel_Rarely,26,Medium,Medium,Medium,Medium,4,22,1,0,2,5,7,Single,No,2014-03-19
EMP10136,30,Male,Master's,Research & Development,Research Scientist,1,20586,Very High,0,0,0,0,Yes,Travel_Rarely,13,Low,Low,Very High,Medium,3,24,1,3,1,0,8,Single,No,2011-04-01
EMP10137,60,Female,Master's,Research & Development,Research Director,3,25000,Very High,34,9,9,2,No,Travel_Rarely,27,Low,Very High,High,Very High,4,13,1,0,2,1,3,Married,No,2013-09-23
EMP10138,31,Female,Bachelor's,Finance,Finance Manager,1,21212,Very High,5,5,2,4,No,Travel_Frequently,18,Medium,High,High,High,3,11,2,3,2,1,19,Single,No,2014-12-19
EMP10139,34,Male,PhD,Research & Development,Manager,2,13309,High,6,2,2,2,No,Travel_Rarely,5,High,Medium,Medium,Very High,3,14,3,4,2,9,4,Single,No,2011-09-05
EMP10140,50,Male,High School,Marketing,Marketing Executive,2,18452,Very High,20,1,0,0,No,Travel_Frequently,23,High,Very High,Medium,Very High,3,17,3,1,1,3,6,Single,No,2022-11-01
EMP10141,48,Female,Bachelor's,Marketing,Marketing Executive,2,23871,Very High,23,0,0,0,Yes,Non-Travel,25,Low,Low,Medium,Medium,3,24,2,6,3,4,8,Single,No,2018-10-10
