EmployeeID,Age,Gender,Education,Department,JobRole,JobLevel,MonthlyIncome,SalarySlab,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,NumCompaniesWorked,SickLeaveDays,AbsentDays,MaritalStatus,Attrition,JoiningDate,EmployeeNumber
EMP10011,38,Female,PhD,Sales,Sales Executive,2,25000.0,Very High,10,0.0,0,0,No,Travel_Rarely,5.0,High,High,Low,Very High,3,11,0,6,3,1,17,Married,No,24-01-2022,983186
EMP10012,57,Male,Master's,Marketing,Marketing Executive,2,25000.0,Very High,31,3.0,3,3,No,Travel_Frequently,13.0,Low,Low,Medium,High,3,13,3,3,4,7,1,Married,No,06-11-2010,512123
EMP10013,22,Male,Bachelor's,IT,IT Support,5,9624.0,High,1,1.0,1,1,No,Travel_Rarely,7.0,Low,Low,Very High,Medium,3,16,2,4,0,11,17,Married,No,09-12-2020,505601
EMP10014,24,Female,High School,Sales,Sales Representative,1,21709.0,Very High,3,1.0,1,1,No,Travel_Rarely,17.0,High,Low,Very High,Medium,4,22,1,3,4,4,7,Married,No,12-09-2018,199942
EMP10015,32,Female,High School,Sales,Sales Executive,1,25000.0,Very High,4,1.0,1,1,No,Travel_Rarely,8.0,High,High,High,High,4,23,0,0,0,6,1,Married,No,29-05-2018,845487
EMP10016,50,Female,Bachelor's,Sales,Manager,1,23281.0,Very High,29,1.0,1,1,No,Travel_Frequently,5.0,High,Low,High,High,3,18,2,0,4,3,15,Married,No,18-12-2013,154350
EMP10017,35,Female,High School,Research & Development,Research Director,1,20933.0,Very High,7,5.0,5,2,No,Travel_Rarely,23.0,Low,High,High,Very High,4,15,0,6,4,8,4,Married,No,26-11-2021,845192
EMP10018,51,Male,Bachelor's,Research & Development,Research Director,2,12275.0,High,22,6.0,6,0,No,Travel_Rarely,7.0,Medium,High,Medium,Very High,3,16,2,4,2,1,9,Married,No,24-04-2025,273798
EMP10019,41,Female,Bachelor's,Research & Development,Laboratory Technician,1,24459.0,Very High,20,5.0,1,4,No,Travel_Rarely,8.0,Medium,Low,Medium,High,3,17,0,5,3,11,8,Single,No,14-06-2023,647225
EMP10020,48,Male,Master's,Sales,Sales Executive,1,15669.0,Very High,21,10.0,7,2,No,Non-Travel,7.0,Medium,High,High,Low,4,21,2,2,1,9,1,Married,No,23-10-2021,721825
EMP10021,41,Male,Bachelor's,Human Resources,HR Specialist,1,8222.0,High,16,3.0,0,3,No,Travel_Rarely,22.0,Very High,Very High,Low,Low,3,21,3,4,1,8,15,Married,No,21-09-2024,585314
EMP10022,22, female ,Master's,Sales,Sales Executive,2,25000.0,Very High,0,0.0,0,0,Yes,Travel_Frequently,12.0,High,Very High,Very High,Very High,3,25,2,3,0,3,15,Single,No,11-06-2017,428914
EMP10023,29,Female,Bachelor's,Sales,Manager,3,25000.0,Very High,0,0.0,0,0,No,Travel_Rarely,6.0,Low,High,High,High,3,17,0,2,0,5,16,Single,No,17-03-2010,526167
EMP10024,40,Male,Bachelor's,Research & Development,Research Director,3,22545.0,Very High,21,5.0,1,5,No,Travel_Rarely,21.0,Very High,High,High,High,3,22,1,6,2,4,1,Single,No,25-07-2020,151095
EMP10025,35,Female,PhD,Research & Development,Research Director,1,24418.0,Very High,7,5.0,2,5,No,Travel_Frequently,21.0,Medium,Medium,High,High,3,18,2,3,0,2,4,Single,No,22-02-2020,671586
EMP10026,31,Female,High School,IT,Software Engineer,2,25000.0,Very High,13,4.0,3,1,Yes,Non-Travel,4.0,High,High,Medium,High,3,21,0,3,1,6,7,Single,No,23-12-2010,149191
EMP10027,21,Male,PhD,Sales,Manager,1,24366.0,Very High,0,0.0,0,0,No,Travel_Rarely,23.0,Low,High,High,High,4,23,1,3,3,3,1,Married,No,06-08-2025,172132
EMP10028,60,Female,Bachelor's,Research & Development,Research Scientist,1,25000.0,Very High,33,5.0,1,5,Yes,Travel_Rarely,29.0,High,High,High,Medium,3,24,3,1,2,0,11,Single,No,17-06-2015,594559
EMP10029,43,Male,Bachelor's,Human Resources,HR Specialist,3,19267.0,Very High,21,11.0,2,5,No,Non-Travel,28.0,Medium,High,Low,High,3,23,3,2,0,7,12,Single,No,23-03-2018,697835
EMP10030,54,Male,Bachelor's,Sales,Manager,2,25000.0,Very High,33,4.0,1,1,No,Travel_Rarely,27.0,Medium,Very High,High,Low,4,19,1,1,2,2,15,Single,No,23-06-2016,292234
EMP10031,49,Female,High School,Human Resources,HR Specialist,1,25000.0,Very High,28,8.0,0,4,No,Travel_Rarely,30.0,Low,High,Medium,High,3,25,0,1,2,5,4,Single,No,26-01-2013,413379
EMP10032,49,Male,Bachelor's,Sales,Sales Representative,2,24036.0,Very High,22,1.0,0,1,No,Travel_Rarely,3.0,Low,High,High,Medium,3,11,0,3,2,11,11,Married,No,02-10-2017,944318
EMP10033,54,Female,Master's,Sales,Sales Executive,1,12438.0,High,34,6.0,5,0,No,Travel_Frequently,5.0,Low,Medium,Low,High,3,22,2,0,0,1,14,Single,No,15-04-2010,910720
EMP10034,38,Female,Bachelor's,Marketing,Marketing Specialist,2,25000.0,Very High,9,9.0,7,2,Yes,Travel_Frequently,19.0,Medium,Medium,High,Very High,3,24,3,5,4,8,1,Married,No,02-11-2014,613146
EMP10035,27,Male,Bachelor's,Marketing,Marketing Executive,2,15148.0,Very High,5,2.0,0,2,No,Non-Travel,8.0,Low,Medium,Medium,High,3,24,3,4,0,3,11,Single,No,27-04-2018,200614
EMP10036,45,Female,Bachelor's,IT,Software Engineer,1,16527.0,Very High,19,8.0,1,2,No,Travel_Rarely,5.0,High,High,High,Medium,3,16,3,0,0,6,9,Married,No,24-07-2017,847642
EMP10037,59, female ,Bachelor's,Research & Development,Laboratory Technician,4,15261.0,Very High,37,6.0,3,5,No,Travel_Rarely,27.0,Low,Low,High,Medium,3,11,3,3,0,8,7,Married,No,13-09-2023,921465
EMP10038,26,Male,Master's,Sales,Sales Executive,2,13632.0,High,0,0.0,0,0,No,Travel_Rarely,13.0,High,High,High,Medium,3,16,0,4,0,10,20,Married,No,30-04-2018,302073
EMP10039,49,Male,Master's,Finance,Financial Analyst,3,25000.0,Very High,17,4.0,1,4,No,Travel_Rarely,10.0,Low,Very High,High,Very High,3,20,3,5,0,2,10,Single,No,13-11-2022,485299
EMP10040,26,Male,Bachelor's,Research & Development,Research Scientist,3,25000.0,Very High,8,,1,1,No,Travel_Rarely,6.0,Very High,Very High,Medium,High,3,18,1,4,2,2,11,Single,No,12-03-2021,279297
EMP10041,22,Male,Bachelor's,Sales,Sales Representative,2,25000.0,Very High,0,0.0,0,0,No,Travel_Rarely,1.0,Very High,Very High,Very High,High,3,13,0,5,2,2,16,Divorced,Yes,27-03-2014,858688
EMP10042,20,Female,Bachelor's,Research & Development,Manager,2,12704.0,High,0,0.0,0,0,No,Travel_Rarely,30.0,Medium,Medium,Low,Medium,3,21,1,3,0,4,6,Married,No,26-01-2014,930930
EMP10043,55,Male,PhD,Sales,Sales Executive,1,22744.0,Very High,27,1.0,0,1,No,Travel_Rarely,11.0,High,Medium,High,High,3,14,1,1,3,9,14,Single,Yes,03-10-2022,801328
EMP10044,44,Female,Bachelor's,Marketing,Manager,2,,High,22,1.0,1,1,Yes,Travel_Rarely,20.0,Low,Medium,Medium,Medium,3,14,0,4,3,5,18,Single,Yes,01-06-2011,968330
EMP10045,56,Male,Master's,Sales,Sales Representative,2,16106.0,Very High,27,5.0,2,1,No,Travel_Frequently,9.0,Very High,Medium,High,Medium,3,21,1,5,4,2,1,Single,Yes,17-01-2022,220292
EMP10046,20,Male,Bachelor's,Finance,Finance Manager,1,14572.0,High,0,0.0,0,0,No,Travel_Rarely,16.0,High,High,High,Medium,3,11,1,4,3,9,5,Single,No,17-04-2018,192165
EMP10047,34,Male,PhD,Research & Development,Research Scientist,2,25000.0,Very High,6,0.0,0,0,Yes,Travel_Rarely,15.0,Low,Low,Very High,Medium,3,22,2,4,1,8,1,Married,No,27-05-2023,483098
EMP10048,56,Female,Bachelor's,Research & Development,Laboratory Technician,3,18429.0,Very High,31,4.0,2,2,Yes,Travel_Rarely,5.0,Medium,Medium,Medium,Medium,3,12,3,4,1,0,13,Married,No,14-04-2022,716165
EMP10049,32,Male,Bachelor's,Research & Development,Research Director,4,25000.0,Very High,11,2.0,2,2,Yes,Travel_Frequently,15.0,Low,Medium,Medium,High,3,22,1,2,3,6,7,Divorced,Yes,24-12-2017,504560
EMP10050,59,Male,Master's,Sales,Sales Representative,2,25000.0,Very High,34,1.0,1,1,No,Travel_Rarely,1.0,Medium,High,High,Medium,3,19,2,1,0,10,15,Single,No,23-10-2010,526345
EMP10051,27,Female,PhD,Marketing,Marketing Specialist,2,25000.0,Very High,0,0.0,0,0,No,Travel_Rarely,15.0,High,High,Very High,Low,3,10,2,2,3,8,18,Married,No,12-06-2015,664649
EMP10052,24,Female,PhD,IT,IT Support,3,11319.0,High,5,5.0,2,3,No,Travel_Rarely,4.0,Medium,Very High,Medium,Medium,4,12,3,2,1,4,17,Single,No,02-07-2019,536926
EMP10053,28,Male,Master's,Marketing,Marketing Executive,1,25000.0,Very High,0,0.0,0,0,Yes,Travel_Rarely,28.0,Medium,Very High,Very High,High,4,14,2,5,3,2,12,Married,Yes,14-07-2022,206238
EMP10054,20,Female,Master's,IT,Data Analyst,1,25000.0,Very High,0,0.0,0,0,No,Travel_Frequently,16.0,Low,Medium,High,Low,3,18,2,3,2,9,5,Married,No,17-07-2023,236921
EMP10055,55, female ,Bachelor's,Human Resources,Manager,1,14214.0,High,30,1.0,0,1,No,Travel_Rarely,22.0,Medium,Very High,High,High,3,10,1,1,4,3,3,Married,No,24-08-2020,269307
EMP10056,54,Female,Master's,Marketing,Manager,4,25000.0,Very High,26,2.0,2,2,Yes,Travel_Rarely,7.0,Low,High,High,Low,3,25,3,0,2,7,20,Married,Yes,25-05-2010,218897
EMP10057,21,Male,Master's,Sales,Sales Representative,1,25000.0,Very High,2,1.0,1,1,No,Travel_Rarely,23.0,High,High,High,High,3,25,3,6,2,11,9,Single,No,25-05-2020,400908
EMP10058,59,Male,Bachelor's,Sales,Manager,1,19883.0,Very High,40,7.0,3,1,No,Travel_Rarely,8.0,Low,Very High,Very High,Very High,3,15,1,1,4,2,14,Divorced,No,04/21/2018,761703
EMP10059,42,Male,Master's,Sales,Sales Executive,2,15203.0,Very High,19,15.0,5,2,No,Travel_Rarely,21.0,High,Low,Medium,Very High,4,21,0,0,0,4,11,Married,No,05-03-2016,575114
EMP10060,28,Female,Bachelor's,Research & Development,Laboratory Technician,3,15937.0,Very High,10,6.0,6,1,No,Travel_Rarely,22.0,Medium,Very High,Medium,High,4,11,2,5,4,11,19,Single,No,22-03-2011,375590
EMP10061,53,Male,Bachelor's,Research & Development,Research Scientist,4,25000.0,Very High,25,11.0,4,1,Yes,Travel_Rarely,27.0,Medium,High,Very High,High,3,21,1,5,0,2,11,Married,No,07-05-2022,802662
EMP10062,33,Female,Master's,Sales,Sales Representative,2,22033.0,Very High,12,5.0,4,5,No,Travel_Frequently,27.0,High,Medium,Medium,High,3,15,2,4,1,11,6,Divorced,Yes,10-11-2017,649020
EMP10063,23,Male,Bachelor's,IT,Software Engineer,4,25000.0,Very High,0,,0,0,Yes,Travel_Frequently,2.0,Medium,Medium,Medium,Very High,3,19,3,5,3,5,5,Married,No,29-06-2011,793570
EMP10064,49,Male,Bachelor's,Research & Development,Laboratory Technician,1,15430.0,Very High,22,3.0,3,3,Yes,Travel_Rarely,30.0,Medium,High,Medium,High,3,15,3,0,1,11,4,Married,No,05-03-2020,351791
EMP10065,50,Male,Bachelor's,Sales,Sales Executive,1,15507.0,Very High,25,0.0,0,0,No,Travel_Rarely,12.0,,High,High,High,3,10,2,6,1,0,18,Married,No,18-02-2024,493036
EMP10066,57,Male,Bachelor's, sales ,Research Director,4,25000.0,Very High,33,0.0,0,0,No,Travel_Rarely,26.0,Medium,High,Medium,High,3,14,3,0,1,6,13,Single,No,28-02-2013,607185
EMP10067,30,Female,Bachelor's,Sales,,2,12000.0,High,3,3.0,1,3,Yes,Travel_Rarely,28.0,Medium,Medium,Medium,Medium,3,19,3,5,3,10,0,Single,No,20-02-2023,870897
EMP10068,54,Female,Master's,IT,Manager,1,18273.0,Very High,32,3.0,2,3,Yes,Travel_Rarely,2.0,High,Medium,High,High,3,11,0,6,0,5,10,Divorced,No,19-12-2020,407243
EMP10069,27,Female,Master's,Sales,Sales Representative,2,22366.0,Very High,3,3.0,3,1,No,Non-Travel,14.0,High,High,Medium,High,3,10,3,6,4,11,3,Married,No,19-07-2020,327020
EMP10070,22,Female,Master's,Marketing,Marketing Executive,3,23159.0,Very High,0,0.0,0,0,No,Travel_Rarely,19.0,Low,Medium,High,High,3,20,3,0,0,5,20,Single,No,14-04-2023,898494
EMP10071,33,Male,Bachelor's,IT,Software Engineer,3,20321.0,Very High,8,2.0,0,2,No,Non-Travel,20.0,Medium,Medium,Low,High,3,18,2,4,0,2,13,Married,No,10-06-2017,679906
EMP10072,32,Female,Master's,Sales,Sales Executive,3,25000.0,Very High,8,3.0,1,3,No,Travel_Rarely,6.0,Low,Medium,Very High,High,3,15,1,4,2,0,20,Single,No,05-11-2017,550781
EMP10073,51,Male,Master's,SALES,Sales Representative,2,25000.0,Very High,21,3.0,3,3,Yes,Travel_Rarely,22.0,Medium,Low,High,Very High,3,10,3,2,3,10,17,Single,No,16-03-2024,962466
EMP10074,53,Female,High School,IT,Software Engineer,3,25000.0,Very High,31,2.0,2,0,No,Travel_Rarely,19.0,High,Medium,High,Very High,4,25,3,0,0,0,5,Married,No,07-01-2022,289017
EMP10075,38,Female,Master's,Finance,Accountant,2,14135.0,High,11,9.0,7,7,Yes,Travel_Rarely,17.0,Very High,Medium,High,Very High,3,19,1,1,0,6,4,Single,No,06-01-2014,571654
EMP10076,57,Female,PhD,Finance,Financial Analyst,2,19383.0,Very High,23,3.0,1,3,No,Travel_Rarely,3.0,Very High,Very High,Low,High,3,18,1,3,1,3,16,Single,No,05-04-2010,862849
EMP10077,35,Female,High School,IT,Manager,3,25000.0,Very High,9,5.0,1,3,Yes,Travel_Frequently,20.0,Low,High,High,High,3,21,1,2,2,5,6,Divorced,No,18-04-2023,312325
EMP10078,21,Female,Master's,Sales,Sales Executive,2,25000.0,Very High,0,0.0,0,0,No,Travel_Frequently,25.0,Medium,High,Very High,High,3,18,2,0,4,3,10,Single,Yes,15-09-2010,848236
EMP10079,59,Female,Master's,Research & Development,Research Scientist,1,11875.0,High,33,10.0,1,5,No,Travel_Rarely,10.0,High,Medium,High,Medium,3,22,3,2,2,7,13,Married,No,05-03-2016,967146
EMP10080,36,Male,High School,Sales,Manager,2,25000.0,Very High,8,8.0,3,2,No,Travel_Rarely,24.0,Low,High,Medium,Medium,3,16,3,5,1,11,1,Married,No,17-04-2022,311812
EMP10081,53,Male,Master's,IT,Software Engineer,2,,High,27,2.0,1,2,Yes,Non-Travel,13.0,High,High,High,Medium,4,18,1,5,1,8,16,Married,No,23-03-2023,175014
EMP10082,35,Female,Bachelor's,Human Resources,HR Executive,1,22497.0,Very High,8,0.0,0,0,No,Travel_Frequently,20.0,High,Medium,High,Very High,3,10,0,5,1,1,1,Married,No,06-09-2012,759482
EMP10083,57,Female,Bachelor's,Research & Development,Manager,1,25000.0,Very High,27,2.0,2,0,No,Travel_Rarely,23.0,Very High,Low,High,High,3,24,2,0,3,0,14,Single,No,22-07-2022,830118
EMP10084,21,Male,Master's,Sales,Sales Representative,1,14378.0,High,0,0.0,0,0,No,Travel_Rarely,29.0,Low,High,Very High,Very High,3,22,1,0,1,0,6,Married,No,01-04-2011,539559
EMP10085,21,Male,High School,Research & Development,Laboratory Technician,1,15132.0,Very High,0,0.0,0,0,No,Travel_Rarely,29.0,Medium,Low,High,Medium,3,12,1,2,0,11,2,Married,No,11-07-2015,741379
EMP10086,45,Male,Master's,Research & Development,Manager,3,25000.0,Very High,25,5.0,2,5,No,Travel_Rarely,25.0,High,Low,Medium,Medium,4,17,3,0,3,11,5,Married,No,22-06-2010,188617
EMP10087,32,Female,High School,Finance,Financial Analyst,1,11001.0,High,3,0.0,0,0,No,Travel_Rarely,18.0,High,Medium,Low,Medium,3,12,0,6,1,6,20,Married,No,26-05-2025,965500
EMP10088,50,Male,Bachelor's,Human Resources,HR Specialist,1,16569.0,Very High,27,,1,1,No,Travel_Rarely,19.0,Very High,High,High,Medium,3,17,2,0,3,1,8,Married,No,10-09-2025,120308
EMP10089,53,Female,Bachelor's,IT,Software Engineer,2,25000.0,Very High,31,1.0,1,1,No,Travel_Rarely,17.0,Low,High,High,Very High,3,12,0,3,0,2,9,Single,No,06-08-2011,252729
EMP10090,58,Male,Bachelor's,Research & Development,Manager,3,16557.0,Very High,34,5.0,3,0,Yes,Travel_Rarely,8.0,High,Very High,Medium,High,3,13,0,1,1,11,20,Married,No,08-07-2017,983260
EMP10091,22,Male,Bachelor's,Sales,Sales Executive,1,19807.0,Very High,0,0.0,0,0,Yes,Travel_Rarely,18.0,High,Medium,Low,High,3,22,3,4,1,3,20,Married,No,19-09-2013,452531
EMP10092,27,Female,Master's,Finance,Accountant,1,25000.0,Very High,9,9.0,2,1,No,Non-Travel,7.0,Low,Very High,Very High,High,3,21,1,3,0,8,7,Married,No,29-05-2023,305020
EMP10093,42,Male,PhD,IT,Software Engineer,4,25000.0,Very High,11,11.0,3,3,No,Non-Travel,23.0,High,High,Medium,Very High,3,21,1,4,1,9,6,Single,No,30-07-2023,982254
EMP10094,33,Male,Master's,Research & Development,Laboratory Technician,2,24836.0,Very High,8,1.0,1,1,No,Travel_Rarely,11.0,High,Medium,High,Medium,3,23,0,4,0,1,0,Single,No,13-09-2024,369398
EMP10095,46,Male,Bachelor's,IT,IT Support,4,18909.0,Very High,24,2.0,1,2,No,Travel_Rarely,3.0,Medium,Very High,Low,Very High,3,13,2,1,1,9,9,Married,No,07-09-2025,206062
EMP10096,48,Male,Master's,Research & Development,Laboratory Technician,1,25000.0,Very High,17,1.0,1,1,No,Travel_Rarely,2.0,Medium,High,Medium,High,3,14,2,6,1,1,17,Single,No,19-03-2023,386770
EMP10097,58,Female,Master's,Research & Development,Laboratory Technician,1,20834.0,Very High,38,2.0,1,0,No,Travel_Rarely,19.0,High,Low,High,Very High,4,19,3,3,2,0,15,Married,No,05-04-2022,879081
EMP10098,58,Male,Bachelor's,Research & Development,Manager,1,25000.0,Very High,33,12.0,2,1,No,Travel_Rarely,28.0,Medium,Low,Very High,High,3,19,2,0,3,7,3,Single,No,14-03-2018,648737
EMP10099,20,Female,Bachelor's,Sales,Sales Executive,1,17613.0,Very High,0,0.0,0,0,No,Travel_Rarely,24.0,Very High,Medium,Very High,Medium,3,20,3,1,4,7,8,Married,No,20-11-2023,931727
EMP10100,36,Male,High School, sales ,Manager,4,20289.0,Very High,5,5.0,0,3,No,Travel_Rarely,28.0,Medium,High,Medium,High,3,13,0,0,2,4,17,Single,No,31-03-2021,832531
EMP10101,60,Female,Bachelor's,Sales,Manager,5,14108.0,High,28,3.0,3,2,No,Travel_Rarely,25.0,Medium,Very High,High,Low,3,16,2,0,2,2,10,Married,No,25-03-2011,354079
EMP10102,49,Female,PhD,Human Resources,HR Executive,4,21682.0,Very High,21,0.0,0,0,No,Travel_Rarely,11.0,Very High,Medium,High,Very High,3,20,1,5,3,0,11,Single,No,07-07-2010,806788
EMP10103,32,Female,Bachelor's,Research & Development,Laboratory Technician,3,15291.0,Very High,9,0.0,0,0,No,Travel_Frequently,8.0,Very High,High,Medium,High,4,13,0,0,2,1,7,Single,No,27-02-2021,183290
EMP10104,40,Female,Master's,Research & Development,Research Director,3,13342.0,High,18,4.0,4,2,No,Travel_Rarely,11.0,,Medium,Medium,Medium,3,20,3,0,0,8,0,Single,No,02-03-2019,382512
EMP10105,38,Male,Bachelor's,Marketing,Manager,2,24745.0,Very High,9,6.0,6,1,No,Travel_Rarely,2.0,High,High,Very High,Medium,4,10,0,3,2,7,7,Married,No,26-05-2025,974690
EMP10106,38,Male,Bachelor's,Sales,Sales Executive,3,24239.0,Very High,13,1.0,1,1,No,Travel_Rarely,12.0,Low,Very High,High,Very High,3,14,0,4,4,9,4,Single,No,16-11-2021,374375
EMP10107,44,Female,Bachelor's,Research & Development,Laboratory Technician,1,25000.0,Very High,15,6.0,0,1,Yes,Travel_Rarely,29.0,Low,High,High,Very High,3,21,3,4,0,10,0,Single,No,20-06-2022,206596
EMP10108,41,Male,PhD,IT,Manager,2,18142.0,Very High,10,8.0,4,0,Yes,Travel_Rarely,9.0,Medium,High,High,High,3,17,2,3,3,3,2,Married,No,09-06-2019,598992
EMP10109,50,Male,Bachelor's,Sales,Manager,2,25000.0,Very High,28,3.0,1,0,No,Travel_Frequently,6.0,Medium,High,High,High,3,15,2,4,3,2,12,Single,No,15-10-2019,570019
EMP10110,36,Male,Master's,Sales,Sales Executive,3,25000.0,Very High,11,7.0,7,1,No,Travel_Rarely,12.0,High,Low,High,Very High,3,13,1,5,3,4,15,Married,No,22-09-2017,620151
EMP10111,42,Male,Bachelor's,Sales,Manager,2,25000.0,Very High,16,3.0,1,1,Yes,Travel_Frequently,18.0,High,Very High,Medium,Medium,3,13,2,1,0,7,11,Divorced,No,15-04-2025,885180
EMP10112,51,Male,Master's,Sales,Manager,3,15191.0,Very High,26,6.0,1,2,No,Travel_Rarely,25.0,Very High,High,Medium,Low,4,22,3,0,3,9,6,Married,No,28-12-2012,432487
EMP10113,29,Male,Master's,Marketing,Marketing Specialist,2,23558.0,Very High,0,0.0,0,0,No,Travel_Rarely,5.0,High,High,Medium,High,3,10,3,0,3,5,7,Divorced,No,18-12-2022,808769
EMP10114,29,Male,Master's,IT,Manager,3,25000.0,Very High,3,3.0,0,3,Yes,Travel_Rarely,22.0,Medium,High,Very High,Very High,3,25,3,6,4,9,10,Married,No,02-10-2018,664463
EMP10115,55,Female,High School,Human Resources,HR Specialist,5,22098.0,Very High,27,2.0,1,0,No,Travel_Rarely,17.0,High,High,Low,High,4,19,2,5,1,10,12,Married,No,30-01-2013,235560
EMP10116,27,Male,Bachelor's,IT,Data Analyst,1,8613.0,High,0,0.0,0,0,No,Travel_Rarely,16.0,Very High,High,High,Medium,3,22,3,0,1,3,10,Single,No,25-05-2020,351065
EMP10117,39,Female,Bachelor's,IT,Manager,4,23676.0,Very High,15,1.0,1,1,Yes,Non-Travel,12.0,High,High,Very High,High,4,10,2,2,1,7,3,Single,No,19-01-2025,363248
EMP10118,51,Male,PhD,Sales,Sales Representative,2,25000.0,Very High,24,1.0,1,1,No,Travel_Rarely,29.0,High,Low,Medium,High,3,12,3,1,3,3,5,Married,No,27-10-2018,394473
EMP10119,33,Female,Bachelor's,IT,Manager,2,18732.0,Very High,4,4.0,3,1,No,Travel_Rarely,30.0,Very High,Medium,Medium,High,3,13,3,2,0,4,18,Married,No,12-08-2022,226871
EMP10120,47,Male,High School,Research & Development,Research Director,3,15873.0,Very High,23,12.0,6,3,NO,Travel_Frequently,2.0,Low,Very High,Very High,Very High,3,24,2,3,3,1,20,Divorced,Yes,10-07-2019,892247
EMP10121,43,Male,Bachelor's,IT,Data Analyst,2,25000.0,Very High,15,3.0,0,1,No,Travel_Rarely,16.0,High,Medium,High,High,3,13,1,2,1,9,7,Married,No,26-05-2018,506252
EMP10122,34,Male,Bachelor's,IT,Data Analyst,2,25000.0,Very High,1,1.0,1,1,Yes,Travel_Rarely,1.0,Very High,High,High,Low,3,11,1,4,4,3,5,Married,No,20-11-2013,552688
EMP10123,41,Male,Master's,Research & Development,Research Scientist,2,25000.0,Very High,14,2.0,2,1,NO,Travel_Rarely,20.0,Very High,Medium,High,High,3,20,1,4,3,9,16,Single,No,20-02-2023,980350
EMP10124,49,Female,PhD,Sales,Sales Representative,1,12506.0,High,25,3.0,3,1,No,Travel_Rarely,2.0,Medium,Medium,Medium,Medium,3,18,2,1,3,9,17,Single,No,06-12-2022,377355
EMP10125,23,Female,Bachelor's,Sales,Sales Representative,2,25000.0,Very High,0,0.0,0,0,Yes,Travel_Rarely,13.0,High,High,High,Very High,3,25,3,2,3,2,2,Married,Yes,24-02-2020,179548
EMP10126,32,Male,Master's,Research & Development,Research Director,1,25000.0,Very High,3,1.0,0,1,No,Travel_Rarely,16.0,High,High,High,High,3,17,2,2,0,11,11,Married,No,14-11-2021,722792
EMP10127,42,Male,Master's,IT,IT Support,4,20662.0,Very High,24,7.0,0,2,Yes,Travel_Rarely,1.0,Medium,Medium,Low,High,3,12,0,0,4,11,14,Divorced,No,08-06-2022,489070
EMP10128,27,Male,Bachelor's,IT,Data Analyst,1,25000.0,Very High,4,0.0,0,0,No,Travel_Rarely,19.0,High,Very High,Low,Very High,3,20,0,1,4,7,6,Married,No,08-10-2015,584030
EMP10129,37,Male,Master's,Sales,Sales Representative,2,25000.0,Very High,14,4.0,1,2,Yes,Travel_Rarely,4.0,Medium,High,Medium,High,4,11,2,0,4,7,12,Divorced,No,22-11-2020,510482
